city,fa19,sp21,fa21,fa22,sp23,fa23,sp24,fa24,city_abbr
Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL,10.985923368087066,13.114349824928919,10.849759414072034,10.817927466254277,10.454797935627631,10.319055328341317,11.105880848917792,11.546190720012083,atl
Boston-Worcester-Providence_MA-RI-NH,9.360122297006424,9.428428882899409,9.196369208359508,9.051172760222371,8.6864444572084,8.863581240570376,9.228605118457041,9.513470439704388,bos
Chicago-Naperville_IL-IN-WI,9.252723179265958,9.929105317067444,8.906800493365614,8.876507640139398,8.658621998017784,8.687265298495763,9.072147583259214,9.64387938084741,chi
Cleveland-Akron-Canton_OH,9.357483280624194,10.16662010525656,9.25085010570752,9.243872354439636,8.844835963740865,8.973590010080976,9.536692383014813,9.777843994946624,clv
Dallas-FortWorth_TX-OK,10.511856346594557,12.762480825716779,10.456731622546378,10.497166788539804,10.028223011802295,9.575042304052714,10.412797909600503,11.036874925775193,dal
Detroit-Warren-AnnArbor_MI,10.274965722866597,11.068290206764727,9.920377701929368,10.035352514321671,9.670453481550172,9.895239510850137,10.39644677456568,10.68792398928734,dtr
Houston-Pasadena_TX,10.600816462679878,12.63219592162166,10.519058605169619,10.488934529562284,10.117500580389107,9.60765351401936,10.527382655018558,11.098380931451226,hou
LosAngeles-LongBeach_CA,10.106895024337046,11.245392545294226,9.707471424374976,9.648013727883077,9.93570877906487,9.504696246620085,10.512497856845588,11.184390384185802,la
NewYork-Newark_NY-NJ-CT-PA,8.24173964835701,8.583617336846313,7.719119329290869,7.704177076976847,7.694331660605107,7.593632297530494,8.383051255182481,8.55969572802223,ny
Orlando-Lakeland-Deltona_FL,10.445947779488074,12.76520011180112,10.532913596985178,10.62395422810746,10.24949139232982,9.676981325563142,10.485696678933977,10.984523886324624,orl
Philadelphia-Reading-Camden_PA-NJ-DE-MD,8.916617352944135,9.669043711056771,8.606410286264468,8.685120390230022,8.394573085674402,8.435015413559295,9.097558539583687,9.334401940632542,phi
Phoenix-Mesa_AZ,10.372544510990277,12.029551069548345,9.912455808578981,10.237755303036797,9.65381367937804,9.31257728987383,10.308103692321595,10.849503082877627,pnx
Sacramento-Roseville_CA,10.768773846638197,12.957271723274086,10.631955273913826,10.614294780249509,10.80165826201609,10.242954365810244,11.499348839649585,12.13191756319397,sac
SanJose-SanFrancisco-Oakland_CA,10.05360857883066,11.577391740152057,9.818256055526653,9.804472689680166,10.50009017179674,9.927961253546423,11.364108978971322,11.9839868677558,sf
StLouis-StCharles-Farmington_MO-IL,9.544391192625678,9.726417628655007,9.083641949630458,9.516883672356775,9.029484015464888,9.099220285543463,9.647213984615162,9.926160592675041,stl
